jUCf,FpPMUiwXLDA,"[2, 7, 437, 1155]",
OUzE,hjbv1LWCmDc,[39],"[{'text': ""hi guys it's Amanda welcome back today I"", 'start': 3.56, 'duration': 6.4}, {'text': 'would like to share with you one of my', 'start': 7.529, 'duration': 5.82}, {'text': 'it must have benefit products and it is', 'start': 9.96, 'duration': 7.95}, {'text': 'the high beam and this is a luminescent', 'start': 13.349, 'duration': 9.09}, {'text': 'complexion enhancer and I love love love', 'start': 17.91, 'duration': 7.379}, {'text': 'to use this this is my favorite', 'start': 22.439, 'duration': 5.521}, {'text': 'highlighter that I have in my collection', 'start': 25.289, 'duration': 6.48}, {'text': ""and it's just a great great product it"", 'start': 27.96, 'duration': 7.009}, {'text': 'gives you the perfect radiant glowy', 'start': 31.769, 'duration': 7.051}, {'text': 'fresh looking skin and I like to use', 'start': 34.969, 'duration': 6.91}, {'text': 'this on the tops of my cheekbones and', 'start': 38.82, 'duration': 6.63}, {'text': 'bridge of my nose sometimes Elven put a', 'start': 41.879, 'duration': 6.301}, {'text': 'little bit on my brow bone and on my', 'start': 45.45, 'duration': 5.1}, {'text': ""Cupid's bow to give that illusion of"", 'start': 48.18, 'duration': 7.82}, {'text': 'full lips but this is quite a thick', 'start': 50.55, 'duration': 11.759}, {'text': 'liquid as you can see here and it has a', 'start': 56.0, 'duration': 10.0}, {'text': ""lot of pink undertones and it's very"", 'start': 62.309, 'duration': 7.501}, {'text': ""pearly it's it doesn't leave your face"", 'start': 66.0, 'duration': 7.53}, {'text': 'looking oily or shiny or anything like', 'start': 69.81, 'duration': 5.099}, {'text': 'that', 'start': 73.53, 'duration': 7.04}, {'text': 'let me swatch a little bit for you here', 'start': 74.909, 'duration': 5.661}, {'text': ""there I'm just gonna blend it out look"", 'start': 81.74, 'duration': 12.1}, {'text': ""at that isn't that nice it just makes"", 'start': 88.92, 'duration': 11.67}, {'text': 'your skin look fresh and and radiant I', 'start': 93.84, 'duration': 9.57}, {'text': ""think so I'm going to go ahead and apply"", 'start': 100.59, 'duration': 5.58}, {'text': 'some on my face so you can get a better', 'start': 103.41, 'duration': 8.04}, {'text': 'look on how it looks on me so I like to', 'start': 106.17, 'duration': 10.71}, {'text': 'apply this with my Sonia Kashuk I think', 'start': 111.45, 'duration': 8.97}, {'text': 'this is like a foundation brush but I', 'start': 116.88, 'duration': 5.4}, {'text': 'mean you can apply it with your fingers', 'start': 120.42, 'duration': 4.92}, {'text': 'or however you choose or you can just', 'start': 122.28, 'duration': 6.69}, {'text': 'apply it with this brush and just dab it', 'start': 125.34, 'duration': 13.47}, {'text': 'on but I like to just do that and me dab', 'start': 128.97, 'duration': 12.18}, {'text': 'a little bit on my hand because a little', 'start': 138.81, 'duration': 3.899}, {'text': 'goes a long way with this product you', 'start': 141.15, 'duration': 5.55}, {'text': ""don't need a whole lot so let's see"", 'start': 142.709, 'duration': 5.941}, {'text': ""we're going to put some on the high"", 'start': 146.7, 'duration': 5.55}, {'text': 'point the high points of my cheekbone', 'start': 148.65, 'duration': 8.27}, {'text': 'here on both sides', 'start': 152.25, 'duration': 4.67}, {'text': 'and a little bridge of my nose just a', 'start': 161.94, 'duration': 15.26}, {'text': 'tad bit and I mean get a little bit more', 'start': 169.35, 'duration': 14.55}, {'text': 'and going to apply this on my brow bone', 'start': 177.2, 'duration': 13.2}, {'text': 'just a little bit', 'start': 183.9, 'duration': 6.5}, {'text': ""don't know if you can see see a"", 'start': 196.569, 'duration': 12.241}, {'text': 'difference here but I think this is just', 'start': 203.799, 'duration': 7.071}, {'text': ""perfect to have in your collection it's"", 'start': 208.81, 'duration': 5.929}, {'text': 'great for all year round every season I', 'start': 210.87, 'duration': 7.179}, {'text': 'mean you always want a fresh radiant', 'start': 214.739, 'duration': 7.181}, {'text': ""glowy looking skin right so I think it's"", 'start': 218.049, 'duration': 5.28}, {'text': 'just perfect to add your to your', 'start': 221.92, 'duration': 3.09}, {'text': ""collection if you don't have it already"", 'start': 223.329, 'duration': 4.141}, {'text': ""or if you don't have a really good"", 'start': 225.01, 'duration': 4.849}, {'text': 'highlighter I do recommend the high beam', 'start': 227.47, 'duration': 6.06}, {'text': ""that's my favorite and I'm going to put"", 'start': 229.859, 'duration': 9.901}, {'text': ""a little bit on my Cupid's bow see"", 'start': 233.53, 'duration': 6.23}, {'text': 'just a little bit and this looks great', 'start': 244.05, 'duration': 10.47}, {'text': 'in pictures as well I really love this', 'start': 250.41, 'duration': 8.13}, {'text': 'product and I hope you can see the', 'start': 254.52, 'duration': 10.7}, {'text': 'difference on my cheekbones hopefully um', 'start': 258.54, 'duration': 6.68}, {'text': ""it's just it's so nice I love it"", 'start': 265.46, 'duration': 7.15}, {'text': 'and this especially looks good and the', 'start': 269.34, 'duration': 6.33}, {'text': ""nighttime say if you're going out on a"", 'start': 272.61, 'duration': 6.33}, {'text': 'date you know to a nice fancy dinner or', 'start': 275.67, 'duration': 5.25}, {'text': 'something like that and you know how the', 'start': 278.94, 'duration': 4.35}, {'text': 'lights are sometimes dim I mean your', 'start': 280.92, 'duration': 7.32}, {'text': 'face will look so flawless so glowy so', 'start': 283.29, 'duration': 8.94}, {'text': 'supermodel risk so I really do enjoy', 'start': 288.24, 'duration': 7.89}, {'text': 'this product I use this not on a regular', 'start': 292.23, 'duration': 6.21}, {'text': 'basis but when I want to look extra', 'start': 296.13, 'duration': 5.7}, {'text': 'fancy but let me know if any of you', 'start': 298.44, 'duration': 5.22}, {'text': 'ladies have tried its product and let me', 'start': 301.83, 'duration': 3.87}, {'text': 'know what you think about it and if you', 'start': 303.66, 'duration': 4.38}, {'text': ""haven't tried it I highly suggest you"", 'start': 305.7, 'duration': 5.39}, {'text': 'give it a try maybe visit Sephora and', 'start': 308.04, 'duration': 6.15}, {'text': 'have like get a little sample or just', 'start': 311.09, 'duration': 6.25}, {'text': 'try it on in a store and let me know how', 'start': 314.19, 'duration': 5.76}, {'text': 'you like it so I hope this was a helpful', 'start': 317.34, 'duration': 6.06}, {'text': ""video if you haven't subscribed to my"", 'start': 319.95, 'duration': 5.88}, {'text': 'channel please do for more videos I', 'start': 323.4, 'duration': 5.37}, {'text': 'would really really appreciate it and as', 'start': 325.83, 'duration': 5.64}, {'text': 'always I appreciate my subscribers thank', 'start': 328.77, 'duration': 5.19}, {'text': 'you for supporting me and showing me', 'start': 331.47, 'duration': 5.16}, {'text': 'love I really really really do', 'start': 333.96, 'duration': 5.52}, {'text': 'appreciate you and I will see you ladies', 'start': 336.63, 'duration': 5.93}, {'text': 'and the next video', 'start': 339.48, 'duration': 3.08}, {'text': 'Oh', 'start': 350.68, 'duration': 2.03}]"
AJzE,hqyXEMGLX0A,"[182, 1396]",
ARzE,gHBjA2gJwY0,[3],
StzE,gObahERdlgM,"[5, 533, 855]",
s4zE,bsyO-a8a92U,"[2, 7]",
cozE,bvafrc1aLEg,"[21, 23, 24, 115, 651]",
cqzE,bwoGJTUBvhs,[8],
PWzE,c7IU7OZaiMU,[3],
PKzE,cFIJLqEDTqs,"[51, 56, 295, 313]",
x9zE,cHwITGtVEM0,"[0, 1, 81, 108]",
tAzE,cQxXTlzV9Es,"[0, 1, 36, 94, 147, 183]",
PmzE,qBRgGxeEmPc,"[5, 16, 25, 136, 1131]","[{'text': 'Walt Disney Pictures proudly presents', 'start': 55.03, 'duration': 5.91}, {'text': 'but my engaged special edition on video', 'start': 57.43, 'duration': 7.17}, {'text': 'and for the first time ever on Disney', 'start': 60.94, 'duration': 8.28}, {'text': ""DVD it's a dazzling world of adventure"", 'start': 64.6, 'duration': 6.75}, {'text': 'with the characters who captured your', 'start': 69.22, 'duration': 5.69}, {'text': 'heart forgettable music blooms embraced', 'start': 71.35, 'duration': 7.62}, {'text': 'economic data featuring a brand new song', 'start': 74.91, 'duration': 6.3}, {'text': 'Morning Report with all new', 'start': 78.97, 'duration': 6.35}, {'text': 'never-before-seen animation', 'start': 81.21, 'duration': 4.11}, {'text': 'Karina', 'start': 87.25, 'duration': 4.09}, {'text': 'Oh', 'start': 89.34, 'duration': 2.0}, {'text': 'still sticking has written the most', 'start': 92.18, 'duration': 9.02}, {'text': 'powerful film is now the king of all', 'start': 96.08, 'duration': 5.12}, {'text': 'what gives me the truth presents', 'start': 104.3, 'duration': 4.5}, {'text': 'special edition coming to video and for', 'start': 109.04, 'duration': 13.6}, {'text': 'the first time ever a Disney DVD coming', 'start': 114.24, 'duration': 19.71}, {'text': 'soon to own on video and DVD Walt Disney', 'start': 122.64, 'duration': 13.89}, {'text': 'Hall in teaming oddly presents a studio', 'start': 133.95, 'duration': 7.11}, {'text': 'ghibli film the award-winning enchanting', 'start': 136.53, 'duration': 15.989}, {'text': 'take Stella research known to be a good', 'start': 141.06, 'duration': 15.209}, {'text': 'way to have to try to get no place in', 'start': 152.519, 'duration': 6.081}, {'text': 'the world', 'start': 156.269, 'duration': 2.331}, {'text': ""when you slide you rely on what's inside"", 'start': 165.32, 'duration': 6.67}, {'text': ""it don't you I wonder what it takes to"", 'start': 168.06, 'duration': 11.01}, {'text': ""be oh it's the movie critics are calling"", 'start': 171.99, 'duration': 10.94}, {'text': 'gorgeous one of the most beautifully', 'start': 179.07, 'duration': 12.33}, {'text': 'everything no collection is complete', 'start': 182.93, 'duration': 17.17}, {'text': ""without Kiki's Delivery Service coming"", 'start': 191.4, 'duration': 13.19}, {'text': 'to DVD into the Oh April 15th', 'start': 200.1, 'duration': 4.49}, {'text': 'above the clouds', 'start': 209.36, 'duration': 3.5}, {'text': 'beyond legend', 'start': 214.44, 'duration': 3.47}, {'text': 'various a castle in the sky way beyond', 'start': 218.01, 'duration': 5.25}, {'text': 'that cloud is a floating city and no one', 'start': 221.31, 'duration': 5.61}, {'text': 'here in earth beings exists now I can', 'start': 223.26, 'duration': 5.1}, {'text': 'prove that the legend is true', 'start': 226.92, 'duration': 4.289}, {'text': 'Walt Disney Hall truTV presents a Studio', 'start': 228.36, 'duration': 4.61}, {'text': 'Ghibli film the long awaited', 'start': 231.209, 'duration': 4.291}, {'text': 'award-winning epic adventure about an', 'start': 232.97, 'duration': 4.81}, {'text': 'enchanted princess my fault getting', 'start': 235.5, 'duration': 4.94}, {'text': 'mixed up in', 'start': 237.78, 'duration': 2.66}, {'text': 'the site has ever happened to me must', 'start': 240.96, 'duration': 5.41}, {'text': 'discover the secret of the castle in the', 'start': 244.12, 'duration': 4.95}, {'text': 'sky to save a mystical land from', 'start': 246.37, 'duration': 7.59}, {'text': 'destruction critics are hailing castle', 'start': 249.07, 'duration': 6.99}, {'text': 'in the sky as wonderful fantastic', 'start': 253.96, 'duration': 5.19}, {'text': 'make-believe and a joy to watch what', 'start': 256.06, 'duration': 5.13}, {'text': 'does the home entertainment presents the', 'start': 259.15, 'duration': 4.29}, {'text': 'Ghibli special edition club castle at', 'start': 261.19, 'duration': 4.67}, {'text': 'the sky', 'start': 263.44, 'duration': 2.42}, {'text': ""one of Walt Disney's most treasured"", 'start': 276.16, 'duration': 4.84}, {'text': ""classics and one of the world's most"", 'start': 278.69, 'duration': 5.04}, {'text': 'beloved stories is coming to video and', 'start': 281.0, 'duration': 7.5}, {'text': 'from a very first time on Disney DVD the', 'start': 283.73, 'duration': 6.54}, {'text': ""special edition of Walt Disney's"", 'start': 288.5, 'duration': 5.1}, {'text': 'masterpiece Sleeping Beauty attuning', 'start': 290.27, 'duration': 5.6}, {'text': 'tale', 'start': 293.6, 'duration': 2.27}, {'text': 'Oh', 'start': 299.96, 'duration': 2.06}, {'text': 'we shall break care but this day of my', 'start': 317.7, 'duration': 9.12}, {'text': 'life Sleeping Beauty the special edition', 'start': 324.36, 'duration': 7.17}, {'text': 'I just love happy endings coming soon', 'start': 326.82, 'duration': 7.65}, {'text': 'video and for the first time on his new', 'start': 331.53, 'duration': 8.13}, {'text': 'DVD now available to all on video and', 'start': 334.47, 'duration': 22.08}, {'text': 'DVD deep within these ones Lysa', 'start': 339.66, 'duration': 21.15}, {'text': 'mysterious gray whose secret will change', 'start': 356.55, 'duration': 10.47}, {'text': 'one fabulous life for all time Walt', 'start': 360.81, 'duration': 10.13}, {'text': 'Disney Pictures proudly presents', 'start': 367.02, 'duration': 3.92}, {'text': 'Alexis Bledel', 'start': 371.139, 'duration': 3.151}, {'text': 'Academy Award winner Sissy Spacek', 'start': 376.13, 'duration': 9.56}, {'text': 'Jonathan Jackson', 'start': 386.44, 'duration': 3.66}, {'text': 'and Academy Award winner will you hurt', 'start': 390.479, 'duration': 5.19}, {'text': 'one of the most beloved American doubles', 'start': 398.249, 'duration': 7.96}, {'text': 'is now an epic motion picture about the', 'start': 401.729, 'duration': 6.621}, {'text': 'choices buffet', 'start': 406.209, 'duration': 4.471}, {'text': 'and the', 'start': 408.35, 'duration': 2.33}, {'text': 'Tuck Everlasting now available on Disney', 'start': 416.36, 'duration': 11.94}, {'text': 'DVD and video', 'start': 424.8, 'duration': 3.5}, {'text': ""that's okay"", 'start': 467.279, 'duration': 3.81}]"
YrzE,8WO4E9zrft4,"[2, 7, 1158]",
pczE,8bofQrdBJBY,"[2, 30]",
O6zE,,"[0, 1, 69, 193, 236, 404, 589]",
BkzE,8oKHFzmLMTw,[227],
fRzE,gThB9FXhZGo,"[11, 20, 22, 32, 991]","[{'text': ""lawl noobs I'm the geeky gourmet today I"", 'start': 5.81, 'duration': 8.77}, {'text': 'was watching species 3 on sci-fi and I', 'start': 10.38, 'duration': 6.8}, {'text': 'thought to myself this is kind of fishy', 'start': 14.58, 'duration': 6.15}, {'text': 'but kinda hot so the spirit of that', 'start': 17.18, 'duration': 5.38}, {'text': ""movie tonight we're making something"", 'start': 20.73, 'duration': 5.16}, {'text': ""that's fishy and hot red pepper glazed"", 'start': 22.56, 'duration': 5.639}, {'text': 'salmon with couscous and steamed', 'start': 25.89, 'duration': 9.12}, {'text': 'vegetables the salmon is a magnificent', 'start': 28.199, 'duration': 9.511}, {'text': 'fish as most of you know once a year it', 'start': 35.01, 'duration': 5.67}, {'text': ""swims upstream to me because that's"", 'start': 37.71, 'duration': 6.599}, {'text': 'where the trampy salmon hang out now the', 'start': 40.68, 'duration': 5.699}, {'text': 'easiest way to catch salmon is the', 'start': 44.309, 'duration': 4.951}, {'text': 'uncooked chicken but I recommend going', 'start': 46.379, 'duration': 4.95}, {'text': 'to your local grocery store the', 'start': 49.26, 'duration': 4.049}, {'text': 'discerning fishmonger will look for only', 'start': 51.329, 'duration': 4.71}, {'text': 'the freshest of salmon will go for the', 'start': 53.309, 'duration': 6.871}, {'text': 'cheapest first preheat the oven to 450', 'start': 56.039, 'duration': 6.57}, {'text': ""degrees Fahrenheit or you're a fan of"", 'start': 60.18, 'duration': 6.96}, {'text': 'Ray Bradbury Fahrenheit 451 now take', 'start': 62.609, 'duration': 7.561}, {'text': 'about two pound salmon fillet and put it', 'start': 67.14, 'duration': 6.78}, {'text': 'flat side down in a baking dish now take', 'start': 70.17, 'duration': 5.97}, {'text': 'some dry mustard and sprinkle it over', 'start': 73.92, 'duration': 6.44}, {'text': ""the filets note we're using dry mustard"", 'start': 76.14, 'duration': 7.44}, {'text': ""dry like Oscar Wilde's width only not"", 'start': 80.36, 'duration': 6.31}, {'text': ""nearly as gay then you're going to take"", 'start': 83.58, 'duration': 5.399}, {'text': 'use tablespoons of red pepper jelly and', 'start': 86.67, 'duration': 6.449}, {'text': 'dump it in a small mixing bowl now red', 'start': 88.979, 'duration': 6.481}, {'text': 'pepper jelly may sound weird but I', 'start': 93.119, 'duration': 4.86}, {'text': ""promise it exists if you don't believe"", 'start': 95.46, 'duration': 4.229}, {'text': 'me you can pause the video and go to', 'start': 97.979, 'duration': 4.201}, {'text': 'your grocery store and check seriously', 'start': 99.689, 'duration': 5.79}, {'text': ""just hit pause you're done alright let's"", 'start': 102.18, 'duration': 3.89}, {'text': 'continue', 'start': 105.479, 'duration': 4.131}, {'text': 'then add one-half teaspoon mild curry', 'start': 106.07, 'duration': 9.33}, {'text': 'paste next for those of you who want a', 'start': 109.61, 'duration': 8.03}, {'text': 'little more mustard in your life and', 'start': 115.4, 'duration': 6.65}, {'text': 'one-fourth teaspoon dijon mustard mix', 'start': 117.64, 'duration': 7.3}, {'text': 'next add a generous pinch of salt and', 'start': 122.05, 'duration': 10.06}, {'text': 'mix remember a pinch is defined as one', 'start': 124.94, 'duration': 10.08}, {'text': 'sixteenth of a teaspoon or the best way', 'start': 132.11, 'duration': 4.38}, {'text': 'of showing respect toward a female', 'start': 135.02, 'duration': 5.25}, {'text': 'colleague next spread the mixture over', 'start': 136.49, 'duration': 6.15}, {'text': 'the salmon like fox news spreads its', 'start': 140.27, 'duration': 4.38}, {'text': 'republican agenda over the american', 'start': 142.64, 'duration': 6.72}, {'text': 'public then we bake for 15 minutes or', 'start': 144.65, 'duration': 8.0}, {'text': 'until the fish is okay', 'start': 149.36, 'duration': 3.29}, {'text': 'for easy couscous i recommend marrying a', 'start': 157.049, 'duration': 6.431}, {'text': ""Moroccan woman that's not feasible by"", 'start': 160.39, 'duration': 4.799}, {'text': 'the boxed variety and followed the', 'start': 163.48, 'duration': 3.289}, {'text': 'instructions on the back of the package', 'start': 165.189, 'duration': 4.231}, {'text': 'this one requires five minutes in', 'start': 166.769, 'duration': 4.631}, {'text': 'boiling water mixed with two teaspoons', 'start': 169.42, 'duration': 4.17}, {'text': ""of butter or oil if you're feeling"", 'start': 171.4, 'duration': 4.29}, {'text': 'naughty you can even add a handful of', 'start': 173.59, 'duration': 4.89}, {'text': 'raisins when done once again I recommend', 'start': 175.69, 'duration': 4.71}, {'text': 'steaming your veggies in a microwave', 'start': 178.48, 'duration': 11.75}, {'text': 'full bag just sniff slam and bam voila', 'start': 180.4, 'duration': 12.059}, {'text': ""remember if there's any leftover juice"", 'start': 190.23, 'duration': 4.24}, {'text': 'from cooking the salmon pour it over the', 'start': 192.459, 'duration': 7.711}, {'text': 'couscous for some added flavor this is', 'start': 194.47, 'duration': 8.25}, {'text': ""one delish dish of fish that's sure to"", 'start': 200.17, 'duration': 8.3}, {'text': 'make the ladies wish for sex', 'start': 202.72, 'duration': 5.75}]"
wOzE,gdoxHbuPvU0,"[11, 83, 262, 506, 601]",
BZzE,gfoTkJ5wDZQ,"[0, 1]",
eKzE,gfKNc5kl0uo,"[0, 486]",
2BzE,9dbeluhtiEo,"[717, 1743]",
DBzE,9im9DYfsT94,"[17, 19, 129]",
7PzE,LRR4a0LBhUw,[43],
QyzE,LepCdmN84uU,"[1, 1294]",
obzE,FYbvQgFoS6I,[21],
RTzE,ZrBCeU2zjU4,[126],
yVzE,Zu-AqD82Hz8,"[2, 7]","[{'text': '>>DAVE MEELER: This filter was invented in\n2005.', 'start': 1.49, 'duration': 3.27}, {'text': 'And what we found out is the people on our\ntechnical lines would take calls from dealers', 'start': 4.76, 'duration': 4.31}, {'text': 'who started noticing unexplainable problems\noccuring with engines.', 'start': 9.07, 'duration': 4.12}, {'text': 'We contacted some other manufacturers they\nwere having them too.', 'start': 13.19, 'duration': 3.3}, {'text': 'We came to find out ethanol had been introduced\nand was causing problems.', 'start': 16.49, 'duration': 5.48}, {'text': 'So specifically to combat that we invented,\nco-invented, this filter.', 'start': 21.97, 'duration': 6.35}, {'text': ""What ethanol does is it's hygroscopic, which\nmeans it attracts water directly out of the"", 'start': 28.32, 'duration': 4.73}, {'text': 'atmosphere.', 'start': 33.05, 'duration': 1.6}, {'text': 'And that separates out of the gasoline once\nyou reach .5 percent.', 'start': 34.65, 'duration': 3.63}, {'text': ""It's what they call phase separation."", 'start': 38.28, 'duration': 2.74}, {'text': 'The fuel pump, then, when the engine is running,\nis going to try to bring, typically the pickup', 'start': 41.02, 'duration': 4.48}, {'text': ""is in the bottom of the tank it's going to\nbring that water and attempt to get it into"", 'start': 45.5, 'duration': 3.94}, {'text': 'the engine.', 'start': 49.44, 'duration': 1.0}, {'text': 'What the fuel water separator does is,\nit not only cleans the debris out of the fuel,', 'start': 50.44, 'duration': 5.52}, {'text': 'but also water being heavier than fuel,\nit will drop to the bottom of the filter and', 'start': 55.96, 'duration': 5.23}, {'text': 'be collected and only clean gas goes on to\nthe engine.', 'start': 61.19, 'duration': 4.44}, {'text': ""There's two different sizes."", 'start': 65.63, 'duration': 1.64}, {'text': ""There's the large ... what we call the 10-micron\nfilter, with either a stainless steel head"", 'start': 67.27, 'duration': 5.309}, {'text': 'or an aluminum head.', 'start': 72.579, 'duration': 1.65}, {'text': ""And we also make what's known as the mini-10\nand that's for 115-horsepower and down and"", 'start': 74.229, 'duration': 4.661}, {'text': 'it only comes with an aluminum head.', 'start': 78.89, 'duration': 1.93}, {'text': 'The filter is ten micron which is about 1/20\nof the diameter of a human hair and with this', 'start': 80.82, 'duration': 5.33}, {'text': 'filter there is about a 95 percent efficiency\nrate.', 'start': 86.15, 'duration': 3.92}, {'text': 'Meaning that 95 percent of 10 micron or larger\nparticles will be captured by the filter.', 'start': 90.07, 'duration': 5.64}, {'text': 'Alot of filters out on the market call themselves\n10 micron but capture much less than that.', 'start': 95.71, 'duration': 5.479}, {'text': 'This filter is very easy to install, just\ntakes a very minimal amount of experience', 'start': 101.189, 'duration': 4.63}, {'text': 'and some common tools.', 'start': 105.819, 'duration': 1.93}, {'text': 'Simply mount this in stern area of the boat.', 'start': 107.749, 'duration': 5.581}, {'text': 'Interupt the fuel line.', 'start': 113.33, 'duration': 1.51}, {'text': 'Mount a fiting on either end.', 'start': 114.84, 'duration': 2.049}, {'text': 'Fuel goes in fuel - goes out.', 'start': 116.889, 'duration': 2.23}, {'text': 'Fttings come with it.', 'start': 119.119, 'duration': 4.21}, {'text': ""Unless it's a new boat with a new engine we\nask that you change it after the first ten"", 'start': 123.329, 'duration': 6.171}, {'text': 'hours of operation and every 50 hours after\nthat.', 'start': 129.5, 'duration': 2.48}]"
