ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
HIb5,mUmOp34lA-k,"[26, 130, 199, 259, 379, 1227, 1998, 2417]","[{'text': ""and here's a few figures that I just"", 'start': 0.199, 'duration': 5.201}, {'text': 'bought recently on clearance I think I', 'start': 2.97, 'duration': 6.99}, {'text': 'bought them in June 2010 these are the', 'start': 5.4, 'duration': 6.42}, {'text': 'Transformers Revenge of the Fallen robot', 'start': 9.96, 'duration': 5.52}, {'text': ""replicas they're sort of action figures"", 'start': 11.82, 'duration': 6.81}, {'text': 'of transformers that did not transform', 'start': 15.48, 'duration': 5.73}, {'text': 'that do not transform when they first', 'start': 18.63, 'duration': 3.51}, {'text': 'came out in Manila', 'start': 21.21, 'duration': 3.479}, {'text': 'they were like something like $18 link', 'start': 22.14, 'duration': 5.09}, {'text': 'for non-transforming figures', 'start': 24.689, 'duration': 5.641}, {'text': ""transformers there they weren't worth"", 'start': 27.23, 'duration': 7.77}, {'text': 'the price but in June I think the prices', 'start': 30.33, 'duration': 7.26}, {'text': 'dropped they went on clearance for', 'start': 35.0, 'duration': 5.59}, {'text': 'something like $8 for whatever was on', 'start': 37.59, 'duration': 4.5}, {'text': 'was left on the pegs and these were the', 'start': 40.59, 'duration': 2.969}, {'text': 'only ones obviously left on the pegs', 'start': 42.09, 'duration': 3.6}, {'text': ""because well as Starscream we didn't"", 'start': 43.559, 'duration': 4.861}, {'text': 'bother to get Starscream the only ones', 'start': 45.69, 'duration': 4.95}, {'text': 'that were really snatched up brought in', 'start': 48.42, 'duration': 5.24}, {'text': 'this primary Hadden bumblebee so anyway', 'start': 50.64, 'duration': 7.53}, {'text': 'if you remember back in the 80s this', 'start': 53.66, 'duration': 6.28}, {'text': 'trend was started with the action', 'start': 58.17, 'duration': 6.12}, {'text': 'masters non-transforming transformers', 'start': 59.94, 'duration': 5.7}, {'text': ""action figures and here's an example"", 'start': 64.29, 'duration': 5.43}, {'text': 'this is action master jazz because back', 'start': 65.64, 'duration': 5.85}, {'text': 'then the g1 figures really had no', 'start': 69.72, 'duration': 4.5}, {'text': 'articulation very little articulation so', 'start': 71.49, 'duration': 5.07}, {'text': 'Hosmer came up with sort of GI Joe', 'start': 74.22, 'duration': 5.46}, {'text': 'looking transformers that had', 'start': 76.56, 'duration': 5.37}, {'text': 'articulation and but could not transform', 'start': 79.68, 'duration': 5.579}, {'text': 'and only the weapons transformed so and', 'start': 81.93, 'duration': 5.25}, {'text': 'I think the trend is continued in the', 'start': 85.259, 'duration': 6.15}, {'text': 'robot replicas each of the figure has', 'start': 87.18, 'duration': 6.27}, {'text': 'each of the figures have has decent', 'start': 91.409, 'duration': 5.611}, {'text': ""articulation and I'll describe try and"", 'start': 93.45, 'duration': 4.89}, {'text': 'describe your articulation will use', 'start': 97.02, 'duration': 4.919}, {'text': 'ratchet because ratchet is the easiest', 'start': 98.34, 'duration': 5.3}, {'text': 'to show each of the figures they have', 'start': 101.939, 'duration': 5.191}, {'text': 'ball jointed inner shoulders a ball', 'start': 103.64, 'duration': 6.519}, {'text': 'hinge outer shoulder hinge elbow with a', 'start': 107.13, 'duration': 7.559}, {'text': 'ball ball jointed forearm ball jointed', 'start': 110.159, 'duration': 8.401}, {'text': 'head ball jointed upper torso or waist', 'start': 114.689, 'duration': 9.421}, {'text': 'ball hinge ball hinge hips double hinge', 'start': 118.56, 'duration': 7.8}, {'text': 'knees or single or hinge knees and a', 'start': 124.11, 'duration': 6.78}, {'text': 'ball jointed foot and so these are the', 'start': 126.36, 'duration': 5.64}, {'text': ""ones that I've gotten I've gotten"", 'start': 130.89, 'duration': 3.17}, {'text': 'ratchet', 'start': 132.0, 'duration': 4.65}, {'text': ""skids it would've been nice if they made"", 'start': 134.06, 'duration': 4.78}, {'text': ""mudflap as well I've got Megatron and"", 'start': 136.65, 'duration': 4.32}, {'text': 'perhaps the only one I wanted to get was', 'start': 138.84, 'duration': 5.07}, {'text': ""jet fire so we're pretty pretty cool I"", 'start': 140.97, 'duration': 6.03}, {'text': 'like him like a lot and now that the', 'start': 143.91, 'duration': 8.07}, {'text': ""price of $8 but for $18 I wouldn't spend"", 'start': 147.0, 'duration': 7.709}, {'text': ""anything on them that's ratchet"", 'start': 151.98, 'duration': 5.94}, {'text': ""here's Megatron very nice very evil"", 'start': 154.709, 'duration': 6.181}, {'text': 'looking dude just the amount of detail', 'start': 157.92, 'duration': 4.77}, {'text': 'when these figures were really nice I', 'start': 160.89, 'duration': 4.44}, {'text': 'wish you know I wish hospital would have', 'start': 162.69, 'duration': 4.59}, {'text': 'priced them a little bit lower so I', 'start': 165.33, 'duration': 3.989}, {'text': 'could have gotten the rest of the of the', 'start': 167.28, 'duration': 4.289}, {'text': ""assortment because they're really really"", 'start': 169.319, 'duration': 4.441}, {'text': ""look nice and you know it's a shame"", 'start': 171.569, 'duration': 4.14}, {'text': 'non-transforming figures were very', 'start': 173.76, 'duration': 7.65}, {'text': 'expensive in fact when they came out $18', 'start': 175.709, 'duration': 7.681}, {'text': 'they were much more expensive than a', 'start': 181.41, 'duration': 5.03}, {'text': 'deluxe class figure which was $14 so', 'start': 183.39, 'duration': 6.09}, {'text': ""anyway here skids they're obviously not"", 'start': 186.44, 'duration': 6.82}, {'text': 'in scale skids is way too big and', 'start': 189.48, 'duration': 6.66}, {'text': 'finally Jetfire I love this figure this', 'start': 193.26, 'duration': 5.34}, {'text': 'was really the one figure I wanted to', 'start': 196.14, 'duration': 5.28}, {'text': 'get when after watching the the movie I', 'start': 198.6, 'duration': 7.53}, {'text': 'wanted to get the robot replica but you', 'start': 201.42, 'duration': 6.72}, {'text': 'know we decided just go with it', 'start': 206.13, 'duration': 4.919}, {'text': 'transforming figures the only one with', 'start': 208.14, 'duration': 4.59}, {'text': 'except with an accessory it comes with', 'start': 211.049, 'duration': 3.211}, {'text': 'this walking stick', 'start': 212.73, 'duration': 4.68}, {'text': 'but very nice everyone is so movie after', 'start': 214.26, 'duration': 6.0}, {'text': ""it I'm just pleased very pleased to"", 'start': 217.41, 'duration': 5.01}, {'text': 'actually find them and get them out of', 'start': 220.26, 'duration': 6.66}, {'text': 'here ins sort of put jazz here just as a', 'start': 222.42, 'duration': 8.97}, {'text': 'reminder of the action masters and I', 'start': 226.92, 'duration': 8.01}, {'text': 'think somebody wanted to know how they', 'start': 231.39, 'duration': 6.659}, {'text': 'were how much bigger or shorter they', 'start': 234.93, 'duration': 5.279}, {'text': 'were if they were in scale or same size', 'start': 238.049, 'duration': 5.071}, {'text': 'as the new Power Core combiners scout', 'start': 240.209, 'duration': 7.741}, {'text': ""class commanders so here is a here's one"", 'start': 243.12, 'duration': 9.449}, {'text': 'of them and I think I said that the the', 'start': 247.95, 'duration': 6.629}, {'text': 'robot replicas were a little bit taller', 'start': 252.569, 'duration': 6.66}, {'text': ""than the commanders I'm looking at the"", 'start': 254.579, 'duration': 7.41}, {'text': ""mount I think I'm wrong I I do apologize"", 'start': 259.229, 'duration': 5.071}, {'text': ""yeah I think whoever I can't remember"", 'start': 261.989, 'duration': 2.741}, {'text': 'who', 'start': 264.3, 'duration': 3.22}, {'text': ""but I think you're probably right that"", 'start': 264.73, 'duration': 5.66}, {'text': 'the power core commanders are the same', 'start': 267.52, 'duration': 9.54}, {'text': 'size and scale as the robot replicas if', 'start': 270.39, 'duration': 10.63}, {'text': 'you do stand up a robot replica on', 'start': 277.06, 'duration': 8.04}, {'text': ""completely maybe he's a little bit"", 'start': 281.02, 'duration': 4.77}, {'text': 'taller', 'start': 285.1, 'duration': 3.93}, {'text': ""for instance Megatron he's just a tad"", 'start': 285.79, 'duration': 6.15}, {'text': 'bit taller than then the Scout class but', 'start': 289.03, 'duration': 5.82}, {'text': 'overall they looked almost the same in', 'start': 291.94, 'duration': 7.89}, {'text': ""size so apologies I didn't actually"", 'start': 294.85, 'duration': 8.25}, {'text': 'measure it I think I was wrong so with', 'start': 299.83, 'duration': 7.79}, {'text': ""that I'll leave you with this the"", 'start': 303.1, 'duration': 7.71}, {'text': 'Transformers Revenge of the Fallen robot', 'start': 307.62, 'duration': 5.47}, {'text': 'replicas Megatron ratchets kids and', 'start': 310.81, 'duration': 6.86}, {'text': 'Jetfire thanks for watching', 'start': 313.09, 'duration': 4.58}]"
h4b5,MiHktgwTlxk,"[3, 4, 6]",
W7b5,MnPJ5pbGdUU,"[1, 25]",
Kbb5,MtKGlH8Pn-E,[6],
Ocb5,MtghEgNAldA,"[2, 17, 30, 53, 55, 58, 163, 232, 340]",
jjb5,7mfQMLHIzMw,"[0, 1, 124, 146, 158, 279]",
n1b5,7ojOgACxF-U,"[64, 113, 119, 465, 475]",
Fmb5,RLQUAjZaZeQ,"[92, 369]",
hMb5,g0Awz6WHMT8,[0],"[{'text': ""here's as much as people event pricing"", 'start': 15.289, 'duration': 5.021}, {'text': 'can heat go down Burgess inclusion is', 'start': 17.67, 'duration': 5.07}, {'text': 'the fitness cover this is essential', 'start': 20.31, 'duration': 4.08}, {'text': 'Pettis is still lying there on the', 'start': 22.74, 'duration': 3.99}, {'text': 'ground and has not moves it good tackle', 'start': 24.39, 'duration': 5.809}, {'text': 'by monfriez got the arm pinned that is', 'start': 26.73, 'duration': 5.849}, {'text': ""it's not a good feeling when you know"", 'start': 30.199, 'duration': 4.54}, {'text': ""your own feeling you can't move you just"", 'start': 32.579, 'duration': 3.601}, {'text': 'waiting to hit the ground and he hit it', 'start': 34.739, 'duration': 4.32}, {'text': ""hard and that's not good he's the number"", 'start': 36.18, 'duration': 4.53}, {'text': 'one target for poor at light inside', 'start': 39.059, 'duration': 6.611}, {'text': 'fifties paisan to getting the trip free', 'start': 40.71, 'duration': 7.34}, {'text': 'and hits the golf', 'start': 45.67, 'duration': 4.479}, {'text': 'stop soon', 'start': 48.05, 'duration': 5.579}, {'text': ""centering ball Kennedy doesn't get much"", 'start': 50.149, 'duration': 5.191}, {'text': 'better than that this is the number', 'start': 53.629, 'duration': 5.32}, {'text': 'three for the quarter for Josh Kennedy', 'start': 55.34, 'duration': 6.809}, {'text': 'that was never again', 'start': 58.949, 'duration': 3.2}, {'text': 'shoot the one to it buck open for long', 'start': 65.69, 'duration': 5.64}, {'text': 'ran off the stump on free-kick downfield', 'start': 68.75, 'duration': 5.7}, {'text': 'and short standing here a little a fly', 'start': 71.33, 'duration': 5.25}, {'text': 'again here glass comes in and just a', 'start': 74.45, 'duration': 3.99}, {'text': ""quality check and I wasn't showing poor"", 'start': 76.58, 'duration': 3.54}, {'text': 'headlight a guy walk across the ground', 'start': 78.44, 'duration': 4.4}, {'text': 'and this sort of situation', 'start': 80.12, 'duration': 5.709}, {'text': 'that fucking ass goal from this turnover', 'start': 82.84, 'duration': 5.47}, {'text': 'directly', 'start': 85.829, 'duration': 5.751}, {'text': 'will is put on lights fairytale G get a', 'start': 88.31, 'duration': 6.169}, {'text': 'lucky break there', 'start': 91.58, 'duration': 2.899}, {'text': 'taxi', 'start': 97.99, 'duration': 4.62}, {'text': 'Speirs the Hamill - kripp sub came on', 'start': 100.24, 'duration': 5.12}, {'text': 'back - darling', 'start': 102.61, 'duration': 2.75}, {'text': 'we look at this board made it tonight', 'start': 112.159, 'duration': 8.891}, {'text': 'for Dan Stewart on his own', 'start': 116.86, 'duration': 4.19}, {'text': 'desk where rise in the', 'start': 121.83, 'duration': 6.34}, {'text': 'in working laughs innocent John worst', 'start': 125.229, 'duration': 7.801}, {'text': 'part obviously not going to be there to', 'start': 128.17, 'duration': 8.52}, {'text': 'put back to the hatchback which first', 'start': 133.03, 'duration': 6.539}, {'text': 'without master gets there first drags', 'start': 136.69, 'duration': 5.299}, {'text': 'Italy', 'start': 139.569, 'duration': 2.42}, {'text': 'chips', 'start': 145.33, 'duration': 2.66}, {'text': 'Mira', 'start': 148.019, 'duration': 3.0}, {'text': ""let's get him"", 'start': 161.83, 'duration': 6.06}, {'text': '- this girl screaming let me cry', 'start': 163.79, 'duration': 4.1}, {'text': ""when dad's got clothes do you want to"", 'start': 168.379, 'duration': 5.64}, {'text': 'give it to you', 'start': 171.54, 'duration': 2.479}, {'text': 'this case is intimate', 'start': 183.15, 'duration': 3.89}, {'text': 'can you finish', 'start': 202.64, 'duration': 3.36}, {'text': ""it's a good shot chippy"", 'start': 209.01, 'duration': 3.14}, {'text': 'if anything', 'start': 223.64, 'duration': 3.08}, {'text': ""2:54 the boy's hand"", 'start': 228.89, 'duration': 3.63}]"
yEb5,g4KtpKlvnGs,"[181, 216, 222, 249]",
XRb5,g4weONPCIsk,"[0, 63, 335]",
xyb5,xPZfeS3vgwI,"[2, 17, 30, 143]",
KGb5,xQkSw_C53jw,"[4, 10, 31, 40, 47, 54, 97, 243, 278]",
NVb5,,[309],
uXb5,Yx7Z7jqhXLY,"[0, 1, 19, 35, 85]",
3qb5,Z1jC1DF_7NY,"[15, 18, 59, 178, 1685]",
bgb5,Z2mIkzi5y5s,"[39, 121]","[{'text': ""hi guys it's me princess jewel so"", 'start': 0.0, 'duration': 3.78}, {'text': ""today's videos and be super fun and"", 'start': 2.01, 'duration': 4.349}, {'text': ""exciting it's the christina aguilera's"", 'start': 3.78, 'duration': 5.399}, {'text': 'your body a makeup tutorial inspired', 'start': 6.359, 'duration': 5.91}, {'text': 'love kind of thing and I was like this', 'start': 9.179, 'duration': 4.681}, {'text': 'is gonna be so much fun to make fancy', 'start': 12.269, 'duration': 3.45}, {'text': ""I've always been like tutorials and I've"", 'start': 13.86, 'duration': 4.2}, {'text': 'always been so boring flat so I was like', 'start': 15.719, 'duration': 3.841}, {'text': ""I'm gonna dress up and play the part"", 'start': 18.06, 'duration': 3.75}, {'text': 'like she did a video because it was so', 'start': 19.56, 'duration': 4.2}, {'text': ""cute I don't know if you've watched the"", 'start': 21.81, 'duration': 3.6}, {'text': ""music video or not but it's like my"", 'start': 23.76, 'duration': 4.259}, {'text': ""favorite song i'm like addicted the"", 'start': 25.41, 'duration': 5.129}, {'text': ""video is so sexy it's so fun and so pink"", 'start': 28.019, 'duration': 4.771}, {'text': 'and so girly like frickin pink like', 'start': 30.539, 'duration': 4.77}, {'text': ""Barbie bars all over and it's just crazy"", 'start': 32.79, 'duration': 5.19}, {'text': 'so I played the part and you know I', 'start': 35.309, 'duration': 4.951}, {'text': 'dressed out then I you know got some', 'start': 37.98, 'duration': 4.29}, {'text': 'cute accessories on and some crazy rings', 'start': 40.26, 'duration': 3.42}, {'text': ""and just I don't know I just went full"", 'start': 42.27, 'duration': 4.08}, {'text': 'out um nothing I would wear like', 'start': 43.68, 'duration': 4.68}, {'text': ""normally but I'm just you know playing"", 'start': 46.35, 'duration': 4.5}, {'text': 'the part in the video so i had like', 'start': 48.36, 'duration': 4.679}, {'text': 'similar earrings that i was like hmm you', 'start': 50.85, 'duration': 5.58}, {'text': ""know that could be cute so yeah um I'm"", 'start': 53.039, 'duration': 6.781}, {'text': 'recreating the look she had in the music', 'start': 56.43, 'duration': 5.01}, {'text': 'video where she looked the bright lips', 'start': 59.82, 'duration': 3.48}, {'text': 'and I believe her eye shadow was always', 'start': 61.44, 'duration': 4.469}, {'text': 'the same just have some very like', 'start': 63.3, 'duration': 6.03}, {'text': 'neutral the very dramatic liner um look', 'start': 65.909, 'duration': 5.371}, {'text': ""I think that lips I don't know it was"", 'start': 69.33, 'duration': 6.24}, {'text': 'red or is just the lighting but um I saw', 'start': 71.28, 'duration': 6.449}, {'text': ""this color so we're gonna stick with"", 'start': 75.57, 'duration': 5.64}, {'text': 'this color um but you know I was like I', 'start': 77.729, 'duration': 6.811}, {'text': 'should probably get a blonde wig um but', 'start': 81.21, 'duration': 5.43}, {'text': 'sounds like I I just want to do it now', 'start': 84.54, 'duration': 3.66}, {'text': 'like the house feel like an Asian', 'start': 86.64, 'duration': 3.839}, {'text': 'Christina Aquilera out there so why not', 'start': 88.2, 'duration': 4.98}, {'text': ""be the first or something I don't s um"", 'start': 90.479, 'duration': 5.341}, {'text': 'but yeah I hope you guys enjoy look and', 'start': 93.18, 'duration': 6.54}, {'text': 'as LCA p.m. all right like usual I like', 'start': 95.82, 'duration': 5.82}, {'text': 'to do half my face first so the first', 'start': 99.72, 'duration': 3.6}, {'text': 'product we are going to use is a mac', 'start': 101.64, 'duration': 4.38}, {'text': 'paint pot in the color pink chili and we', 'start': 103.32, 'duration': 5.04}, {'text': 'are just going to put this all over the', 'start': 106.02, 'duration': 4.8}, {'text': ""lid how many's my fingers because it"", 'start': 108.36, 'duration': 4.799}, {'text': 'warms up the product and it glides on my', 'start': 110.82, 'duration': 6.509}, {'text': 'eyelid much easier ok I just want to say', 'start': 113.159, 'duration': 7.441}, {'text': ""you don't have to have these colors you"", 'start': 117.329, 'duration': 4.83}, {'text': 'just have to work with what you got so', 'start': 120.6, 'duration': 2.559}, {'text': 'this is what I have', 'start': 122.159, 'duration': 3.401}, {'text': 'london use but you can definitely find', 'start': 123.159, 'duration': 4.77}, {'text': 'like a clot like a mutual quad from the', 'start': 125.56, 'duration': 3.869}, {'text': 'covergirl and Rimmel and it will just', 'start': 127.929, 'duration': 3.241}, {'text': ""work the same so we're going to use a"", 'start': 129.429, 'duration': 4.741}, {'text': ""very shimmery nice a highlighter i'm"", 'start': 131.17, 'duration': 5.19}, {'text': ""using match to shroom and i'm just going"", 'start': 134.17, 'duration': 7.379}, {'text': 'to apply that all over my brow bone the', 'start': 136.36, 'duration': 7.23}, {'text': 'next color lane use is my mac is called', 'start': 141.549, 'duration': 3.901}, {'text': ""Omega and I'm just going to take this"", 'start': 143.59, 'duration': 4.14}, {'text': 'very nice matte color and just put it in', 'start': 145.45, 'duration': 4.53}, {'text': 'my crease and just drag it up to my brow', 'start': 147.73, 'duration': 4.41}, {'text': 'bone with a blending brush alright so', 'start': 149.98, 'duration': 3.69}, {'text': ""Christina Aguilera's makeup is a little"", 'start': 152.14, 'duration': 3.989}, {'text': 'bit dramatic in this video so we are', 'start': 153.67, 'duration': 3.78}, {'text': 'just going to pull it back a little', 'start': 156.129, 'duration': 3.841}, {'text': 'farther than usual every sin to create', 'start': 157.45, 'duration': 6.78}, {'text': 'like a little cat movie right here okay', 'start': 159.97, 'duration': 5.76}, {'text': 'so the next color is my mac is called', 'start': 164.23, 'duration': 3.839}, {'text': ""copper plates and it's more like a matte"", 'start': 165.73, 'duration': 4.77}, {'text': ""darker gray color and we're just going"", 'start': 168.069, 'duration': 4.441}, {'text': 'to put this in the crease and cut creep', 'start': 170.5, 'duration': 6.69}, {'text': 'that definition line like over here so', 'start': 172.51, 'duration': 6.27}, {'text': ""we're just gonna use a flat shader brush"", 'start': 177.19, 'duration': 5.04}, {'text': ""and it's gonna really help create that"", 'start': 178.78, 'duration': 5.13}, {'text': 'precision that we want this is that', 'start': 182.23, 'duration': 4.53}, {'text': ""Annabelle a21 fresh alright so now i'm"", 'start': 183.91, 'duration': 5.43}, {'text': ""going to create a line um it's kind of"", 'start': 186.76, 'duration': 4.86}, {'text': 'almost like this one you just have to', 'start': 189.34, 'duration': 5.85}, {'text': 'follow the eye she has it almost kind of', 'start': 191.62, 'duration': 4.949}, {'text': 'like a little bit more dramatic and a', 'start': 195.19, 'duration': 4.049}, {'text': ""little bit more out um it's more almost"", 'start': 196.569, 'duration': 5.371}, {'text': 'like a catch I but so if you just follow', 'start': 199.239, 'duration': 4.291}, {'text': ""me this is what I'm gonna do we're gonna"", 'start': 201.94, 'duration': 5.549}, {'text': 'start up here and just gonna create a', 'start': 203.53, 'duration': 9.09}, {'text': 'line you just go back up and out so back', 'start': 207.489, 'duration': 6.571}, {'text': 'to the first color we news this is the', 'start': 212.62, 'duration': 3.929}, {'text': ""Omega I'm gonna use a Mac 224 blending"", 'start': 214.06, 'duration': 4.019}, {'text': ""brush and I'm just going to take a"", 'start': 216.549, 'duration': 2.94}, {'text': ""little bit of that and I'm just going to"", 'start': 218.079, 'duration': 3.69}, {'text': ""blend the darker color out so I'm just"", 'start': 219.489, 'duration': 4.321}, {'text': 'gonna go back and forth and make sure', 'start': 221.769, 'duration': 5.28}, {'text': ""I'm use circular motion all rights not"", 'start': 223.81, 'duration': 6.179}, {'text': ""only use Mac's vanilla pigment which is"", 'start': 227.049, 'duration': 5.55}, {'text': ""a very nice light color and it's very"", 'start': 229.989, 'duration': 4.351}, {'text': ""high pigmented so I'm going to take the"", 'start': 232.599, 'duration': 4.561}, {'text': ""liveth that and I'm just gonna put it on"", 'start': 234.34, 'duration': 8.519}, {'text': 'my eyelid so basically we are dinner I', 'start': 237.16, 'duration': 8.28}, {'text': ""shoutouts very fast very neutral it's a"", 'start': 242.859, 'duration': 4.35}, {'text': ""little bit tricky at first but you'll"", 'start': 245.44, 'duration': 2.23}, {'text': 'get the hang', 'start': 247.209, 'duration': 3.401}, {'text': 'it now struck Romo lashes apply my', 'start': 247.67, 'duration': 5.7}, {'text': 'eyeliner in the video her eyeliners very', 'start': 250.61, 'duration': 6.18}, {'text': 'dramatic and very cat by looking so', 'start': 253.37, 'duration': 5.31}, {'text': ""we're gonna do it very dramatic and"", 'start': 256.79, 'duration': 5.61}, {'text': ""she's it very winged out like crazy so"", 'start': 258.68, 'duration': 7.14}, {'text': ""we're gonna go do that now i'm using the"", 'start': 262.4, 'duration': 6.63}, {'text': ""seal as waterproof eyeliner it's the pen"", 'start': 265.82, 'duration': 5.43}, {'text': 'and I like the pen because it gives you', 'start': 269.03, 'duration': 6.359}, {'text': ""more of a precise effect so we're gonna"", 'start': 271.25, 'duration': 12.84}, {'text': 'go ahead and try this side so yeah okay', 'start': 275.389, 'duration': 11.881}, {'text': 'so i just realized that i did not record', 'start': 284.09, 'duration': 6.75}, {'text': 'half of the ending of this video oh my', 'start': 287.27, 'duration': 7.92}, {'text': ""god i'm so mad oh alright so what I did"", 'start': 290.84, 'duration': 8.61}, {'text': 'is I hide my math 46 flashes um I guess', 'start': 295.19, 'duration': 8.97}, {'text': 'where I left off but um hi 946 lashes by', 'start': 299.45, 'duration': 9.15}, {'text': 'Mac I applied a bronzer hula and then I', 'start': 304.16, 'duration': 6.3}, {'text': 'apply to blush my mac is called Fleur', 'start': 308.6, 'duration': 4.26}, {'text': 'power just on the cheekbones and then i', 'start': 310.46, 'duration': 5.22}, {'text': 'use a mac highlighter in soft and gentle', 'start': 312.86, 'duration': 4.95}, {'text': 'just on top of the blush kind of create', 'start': 315.68, 'duration': 4.26}, {'text': 'that glowy effect and then with the', 'start': 317.81, 'duration': 5.13}, {'text': 'lipstick very cute color i use the', 'start': 319.94, 'duration': 6.09}, {'text': 'rimmel london by kate on the Kate series', 'start': 322.94, 'duration': 6.0}, {'text': 'and use number two which is the perfect', 'start': 326.03, 'duration': 7.05}, {'text': 'color for the video because honestly i', 'start': 328.94, 'duration': 5.97}, {'text': 'watch the videos like I have the same', 'start': 333.08, 'duration': 4.53}, {'text': 'lipstick this is like it I swear to you', 'start': 334.91, 'duration': 4.77}, {'text': ""it's coming almost like you read like"", 'start': 337.61, 'duration': 5.1}, {'text': ""pink I don't kind of like it like it's"", 'start': 339.68, 'duration': 5.52}, {'text': ""perfect I don't explain it but this is"", 'start': 342.71, 'duration': 5.16}, {'text': 'the color I use on my lips and for the', 'start': 345.2, 'duration': 6.83}, {'text': 'lip liner i use a mac pearl liner right', 'start': 347.87, 'duration': 6.54}, {'text': 'cream stick pro liner in the color', 'start': 352.03, 'duration': 6.16}, {'text': ""cran-apple it's just beautiful beautiful"", 'start': 354.41, 'duration': 5.91}, {'text': ""in this line of unused and yeah that's"", 'start': 358.19, 'duration': 5.16}, {'text': ""about it sucks I'm not like recorded oh"", 'start': 360.32, 'duration': 3.58}, {'text': 'no what', 'start': 363.35, 'duration': 3.22}, {'text': 'but yeah I hope he does enjoy this video', 'start': 363.9, 'duration': 4.65}, {'text': ""I know it's in like a lot of products"", 'start': 366.57, 'duration': 4.59}, {'text': 'but um like I said in the beginning like', 'start': 368.55, 'duration': 5.52}, {'text': ""you don't have to have exact product you"", 'start': 371.16, 'duration': 4.379}, {'text': ""can find something that's similar to it"", 'start': 374.07, 'duration': 4.89}, {'text': 'um more horrible price but yeah I hope', 'start': 375.539, 'duration': 5.011}, {'text': 'you guys enjoyed this video and tell me', 'start': 378.96, 'duration': 3.78}, {'text': ""what you think guys like you're not but"", 'start': 380.55, 'duration': 4.11}, {'text': 'this is basically the final product I', 'start': 382.74, 'duration': 4.11}, {'text': 'might not look like zactly the same as', 'start': 384.66, 'duration': 6.06}, {'text': 'her makeup but I try but I hope you guys', 'start': 386.85, 'duration': 5.46}, {'text': 'liked it and make sure us check out my', 'start': 390.72, 'duration': 5.58}, {'text': 'new a fan page on facebook ww-p spocom /', 'start': 392.31, 'duration': 6.57}, {'text': ""jus leave you a fan page I believe it's"", 'start': 396.3, 'duration': 3.899}, {'text': 'called I just had too much facebook', 'start': 398.88, 'duration': 3.75}, {'text': ""accounts I don't know but make sure you"", 'start': 400.199, 'duration': 4.47}, {'text': 'like that follow me and think for your', 'start': 402.63, 'duration': 4.11}, {'text': 'support but still next time the stain', 'start': 404.669, 'duration': 3.901}, {'text': 'school and stay out of jail and if', 'start': 406.74, 'duration': 5.25}, {'text': ""you're on school stay home all right bye"", 'start': 408.57, 'duration': 5.45}, {'text': 'guys', 'start': 411.99, 'duration': 2.03}]"
